Date,PM2.5,PM10,NO2,CO,SO2,O3,tavg,rh,wspd,AQI
2015-01-01,313.22,607.98,36.39,15.2,9.25,41.68,14.9,6.313373253493014,5.719522471910112,472.0
2015-01-02,186.18,269.55,32.87,9.54,6.65,29.97,14.7,5.1,5.719522471910112,454.0
2015-01-03,87.18,131.9,30.31,10.61,2.65,19.71,15.0,7.1,5.719522471910112,143.0
2015-01-04,151.84,241.84,36.91,11.54,4.63,25.36,14.2,0.0,5.719522471910112,319.0
2015-01-05,146.6,219.13,34.92,9.2,3.33,23.2,13.9,6.313373253493014,5.719522471910112,325.0
2015-01-06,149.58,252.1,37.84,9.44,3.66,26.83,12.0,6.313373253493014,5.719522471910112,318.0
2015-01-07,217.87,376.51,40.15,9.78,5.82,28.96,9.8,6.313373253493014,5.719522471910112,353.0
2015-01-08,229.9,360.95,43.16,11.01,3.31,30.51,10.1,6.313373253493014,5.719522471910112,383.0
2015-01-09,201.66,397.43,38.56,11.09,3.48,32.94,10.5,6.313373253493014,5.719522471910112,375.0
2015-01-10,221.02,361.74,46.39,9.7,5.91,34.12,11.2,6.313373253493014,5.719522471910112,376.0
2015-01-11,205.41,393.2,47.29,10.98,5.54,50.37,11.1,6.313373253493014,5.719522471910112,379.0
2015-01-12,212.41,345.63,44.71,9.3,5.17,40.08,10.6,6.313373253493014,5.719522471910112,375.0
2015-01-13,197.61,301.04,45.88,11.52,5.95,39.54,12.3,6.313373253493014,5.719522471910112,366.0
2015-01-14,164.39,227.38,41.17,10.32,4.85,42.05,12.1,0.5,5.719522471910112,353.0
2015-01-15,166.19,283.93,56.7,10.81,6.94,43.25,12.3,0.0,5.719522471910112,340.0
2015-01-16,174.98,309.99,49.41,11.46,4.69,34.7,13.0,6.313373253493014,5.719522471910112,356.0
2015-01-17,196.46,356.2,53.04,8.87,5.13,25.77,13.6,6.313373253493014,5.719522471910112,360.0
2015-01-18,201.51,359.75,53.77,8.99,5.43,23.22,13.2,6.313373253493014,5.719522471910112,370.0
2015-01-19,183.35,305.13,39.88,9.02,4.21,25.34,13.9,6.313373253493014,5.719522471910112,362.0
2015-01-20,165.63,257.04,34.23,8.03,4.11,22.69,13.4,6.313373253493014,5.719522471910112,340.0
2015-01-21,159.54,235.27,22.56,9.01,7.05,18.56,13.2,6.313373253493014,5.719522471910112,338.0
2015-01-22,143.68,183.89,21.82,10.58,8.64,6.94,12.6,3.0,5.719522471910112,332.0
2015-01-23,128.73,136.07,17.35,8.74,6.77,10.91,14.7,7.1,5.719522471910112,254.0
2015-01-24,164.98,200.02,15.77,9.39,8.89,9.35,12.5,0.0,5.719522471910112,324.0
2015-01-25,148.59,203.81,20.83,11.44,5.96,16.65,13.1,6.313373253493014,5.719522471910112,333.0
2015-01-26,129.34,137.86,25.66,10.19,6.78,18.18,13.7,1.0,5.719522471910112,292.0
2015-01-27,154.2,217.2,30.39,10.36,6.42,17.11,13.3,0.8,5.719522471910112,318.0
2015-01-28,134.6,156.9,28.6,10.21,5.21,15.23,12.6,0.0,5.719522471910112,295.0
2015-01-29,173.13,277.0,38.34,11.74,5.53,16.29,12.2,6.313373253493014,5.719522471910112,327.0
2015-01-30,178.04,272.61,38.43,11.58,6.43,14.91,12.7,6.313373253493014,5.719522471910112,345.0
2015-01-31,158.59,207.06,41.36,8.7,5.03,17.51,13.8,6.313373253493014,5.719522471910112,334.0
2015-02-01,211.59,371.05,58.17,13.08,9.9,23.28,15.1,6.313373253493014,5.719522471910112,358.0
2015-02-02,163.64,219.84,37.25,10.59,5.31,28.38,17.3,6.313373253493014,5.719522471910112,349.0
2015-02-03,157.71,194.09,31.05,8.21,5.64,28.56,16.7,6.313373253493014,5.719522471910112,334.0
2015-02-04,137.26,147.08,29.69,9.11,5.06,15.07,14.6,6.313373253493014,5.719522471910112,313.0
2015-02-05,131.76,127.42,36.51,8.18,4.85,21.7,14.4,6.313373253493014,5.719522471910112,262.0
2015-02-06,151.6,330.99,67.0,5.51,9.13,33.92,15.2,6.313373253493014,5.719522471910112,303.0
2015-02-07,160.75,210.52,57.69,10.28,6.91,43.44,15.7,6.313373253493014,5.719522471910112,329.0
2015-02-08,145.34,215.69,50.39,5.39,8.66,30.43,16.7,6.313373253493014,5.719522471910112,323.0
2015-02-09,134.67,109.86,39.18,5.11,9.7,20.62,16.9,6.313373253493014,5.719522471910112,266.0
2015-02-10,153.07,218.23,42.2,10.88,5.81,19.02,15.8,6.313373253493014,5.719522471910112,319.0
2015-02-11,116.91,316.14,53.63,12.64,7.54,27.17,16.1,6.313373253493014,5.719522471910112,334.0
2015-02-12,177.98,394.97,42.73,13.75,9.2,25.58,15.6,6.313373253493014,5.719522471910112,342.0
2015-02-13,167.01,328.43,44.61,11.26,7.77,27.62,17.2,6.313373253493014,5.719522471910112,341.0
2015-02-14,193.96,412.46,53.81,11.73,9.36,34.22,19.3,6.313373253493014,5.719522471910112,377.0
2015-02-15,184.06,497.37,58.15,13.78,9.13,40.91,18.9,6.313373253493014,5.719522471910112,391.0
2015-02-16,152.62,310.74,44.22,11.55,6.79,34.36,20.7,6.313373253493014,5.719522471910112,358.0
2015-02-17,161.27,195.78,25.4,10.3,5.6,41.62,20.7,6.313373253493014,5.719522471910112,327.0
2015-02-18,188.2,253.53,60.29,16.23,8.65,36.54,21.3,6.313373253493014,5.719522471910112,365.0
2015-02-19,159.97,193.78,40.51,13.11,5.08,31.88,22.9,6.313373253493014,5.719522471910112,352.0
2015-02-20,144.12,162.2,34.71,11.45,5.93,31.61,22.8,2.0,5.719522471910112,317.0
2015-02-21,155.38,191.03,45.11,14.21,12.24,30.11,21.9,0.0,5.719522471910112,320.0
2015-02-22,124.1,107.61,31.83,9.73,5.68,27.19,22.2,6.313373253493014,5.719522471910112,279.0
2015-02-23,141.39,157.01,38.23,9.29,9.43,36.86,21.6,6.313373253493014,5.719522471910112,281.0
2015-02-24,170.16,238.33,48.4,14.17,9.28,37.39,22.9,6.313373253493014,5.719522471910112,354.0
2015-02-25,148.19,169.57,29.28,14.13,5.94,31.57,23.2,0.0,5.719522471910112,340.0
2015-02-26,140.78,171.64,20.95,13.61,6.98,28.72,20.0,0.0,5.719522471910112,323.0
2015-02-27,130.42,163.67,24.75,12.78,12.12,34.08,19.2,6.313373253493014,5.719522471910112,315.0
2015-02-28,105.86,169.28,20.65,11.8,12.48,41.38,21.2,6.313373253493014,5.719522471910112,310.0
2015-03-01,71.83,98.89,21.42,11.62,10.99,22.51,17.3,7.9,5.719522471910112,324.0
2015-03-02,53.71,60.15,13.43,10.19,3.21,22.08,17.4,56.9,5.719522471910112,226.0
2015-03-03,83.49,112.1,23.75,11.72,5.07,20.83,16.1,7.1,5.719522471910112,266.0
2015-03-04,91.07,139.15,24.28,10.64,4.68,25.83,16.8,0.0,5.719522471910112,200.0
2015-03-05,106.57,196.19,31.12,9.36,5.97,32.88,18.8,6.313373253493014,5.719522471910112,275.0
2015-03-06,101.75,163.14,26.59,10.55,5.96,33.67,20.2,6.313373253493014,5.719522471910112,322.0
2015-03-07,77.57,90.54,19.15,9.48,5.18,23.09,18.6,6.313373253493014,5.719522471910112,216.0
2015-03-08,63.24,80.2,20.35,8.19,3.98,20.71,19.4,6.313373253493014,5.719522471910112,108.0
2015-03-09,76.62,117.38,18.21,9.02,4.2,22.85,18.1,6.313373253493014,5.719522471910112,197.0
2015-03-10,86.7,150.92,18.82,7.98,3.84,25.87,17.7,6.313373253493014,5.719522471910112,238.0
2015-03-11,104.29,176.2,25.63,10.76,6.3,29.62,18.3,6.313373253493014,5.719522471910112,274.0
2015-03-12,115.93,203.75,32.29,11.3,7.03,35.05,20.6,6.313373253493014,5.719522471910112,315.0
2015-03-13,108.66,173.89,30.75,10.23,10.65,34.05,21.3,6.313373253493014,5.719522471910112,307.0
2015-03-14,67.94,105.29,29.78,9.18,10.14,23.39,21.6,6.313373253493014,5.719522471910112,208.0
2015-03-15,38.89,46.68,17.76,8.23,4.25,22.0,17.7,6.313373253493014,5.719522471910112,165.0
2015-03-16,45.39,74.14,17.14,7.87,8.8,25.55,20.5,6.313373253493014,5.719522471910112,188.0
2015-03-17,55.55,104.33,20.96,10.45,7.19,23.11,20.7,6.313373253493014,5.719522471910112,217.0
2015-03-18,50.59,95.56,16.6,7.83,3.6,27.5,20.3,6.313373253493014,5.719522471910112,191.0
2015-03-19,69.51,136.67,23.77,7.89,4.97,27.07,21.1,6.313373253493014,5.719522471910112,240.0
2015-03-20,96.62,168.0,29.04,9.59,6.66,29.01,22.5,6.313373253493014,5.719522471910112,229.0
2015-03-21,96.28,172.91,29.21,8.82,7.31,25.97,24.9,6.313373253493014,5.719522471910112,248.0
2015-03-22,72.2,122.12,20.27,8.5,4.4,25.48,24.9,6.313373253493014,5.719522471910112,204.0
2015-03-23,78.47,131.42,23.04,8.6,4.07,27.1,24.8,6.313373253493014,5.719522471910112,271.0
2015-03-24,91.87,179.36,30.01,10.1,7.35,34.78,25.8,6.313373253493014,5.719522471910112,290.0
2015-03-25,107.26,201.08,33.82,11.69,11.82,45.78,26.8,6.313373253493014,5.719522471910112,340.0
2015-03-26,109.78,217.9,33.02,12.67,9.3,40.0,28.6,6.313373253493014,5.719522471910112,358.0
2015-03-27,62.27,117.81,24.76,9.29,10.91,31.08,27.7,6.313373253493014,5.719522471910112,287.0
2015-03-28,102.22,212.96,29.41,10.47,17.16,40.23,26.9,6.313373253493014,5.719522471910112,323.0
2015-03-29,104.36,202.01,33.86,14.42,16.92,32.84,25.0,6.313373253493014,5.719522471910112,360.0
2015-03-30,44.19,57.0,17.6,9.58,7.75,26.81,23.4,10.9,5.719522471910112,268.0
2015-03-31,55.66,78.64,20.13,9.56,9.34,34.15,25.1,0.0,5.719522471910112,283.0
2015-04-01,112.86,167.6,32.71,10.15,19.48,38.45,26.3,6.313373253493014,5.719522471910112,309.0
2015-04-02,78.51,112.78,20.54,6.72,14.37,35.54,28.7,6.313373253493014,5.719522471910112,249.0
2015-04-03,66.52,76.05,18.47,8.24,10.62,24.85,24.4,6.1,5.719522471910112,245.0
2015-04-04,62.56,86.11,24.96,5.52,12.94,27.98,21.0,15.0,5.719522471910112,229.0
2015-04-05,78.61,145.1,27.75,7.97,16.72,40.79,23.4,2.0,5.719522471910112,234.0
2015-04-06,119.7,195.47,32.83,11.01,16.63,30.32,25.1,0.0,5.719522471910112,343.0
2015-04-07,66.09,95.81,24.47,7.29,8.34,43.23,23.9,0.0,5.719522471910112,262.0
2015-04-08,95.34,120.2,34.72,9.28,17.99,61.68,25.2,0.0,5.719522471910112,308.0
2015-04-09,63.57,148.17,35.15,6.57,10.48,35.18,25.8,0.0,5.719522471910112,293.0
2015-04-10,96.56,203.67,52.77,4.63,15.8,59.88,27.1,6.313373253493014,5.719522471910112,290.0
2015-04-11,131.39,234.65,59.52,5.84,21.5,73.72,28.2,6.313373253493014,5.719522471910112,375.0
2015-04-12,75.35,91.73,45.3,7.73,13.08,49.21,24.3,2.0,5.719522471910112,293.0
2015-04-13,86.49,116.62,50.3,3.67,14.99,62.52,24.9,0.0,5.719522471910112,247.0
2015-04-14,77.07,132.68,42.65,6.85,14.04,55.44,26.4,2.0,5.719522471910112,232.0
2015-04-15,98.79,161.43,47.41,11.65,13.75,31.14,27.6,0.0,5.719522471910112,316.0
2015-04-16,81.81,164.56,44.06,5.94,21.44,59.29,25.2,6.313373253493014,5.719522471910112,295.0
2015-04-17,65.78,180.67,40.09,7.38,14.34,54.47,28.0,6.313373253493014,5.719522471910112,246.0
2015-04-18,119.82,268.65,51.11,8.21,17.21,65.72,30.2,6.313373253493014,5.719522471910112,378.0
2015-04-19,125.53,308.82,64.73,8.84,18.02,65.08,32.0,6.313373253493014,5.719522471910112,406.0
2015-04-20,121.51,336.63,60.41,6.75,20.98,87.04,32.8,6.313373253493014,5.719522471910112,392.0
2015-04-21,114.5,327.81,50.7,6.84,19.38,74.49,31.8,6.313373253493014,5.719522471910112,391.0
2015-04-22,101.83,279.41,55.27,7.36,19.29,69.41,30.8,6.313373253493014,5.719522471910112,368.0
2015-04-23,118.57,273.68,76.46,6.58,21.81,76.14,30.8,6.313373253493014,5.719522471910112,365.0
2015-04-24,143.22,313.53,88.61,6.42,26.89,89.42,31.1,6.313373253493014,5.719522471910112,383.0
2015-04-25,106.76,318.88,58.87,6.75,17.56,93.54,30.4,6.313373253493014,5.719522471910112,367.0
2015-04-26,65.36,160.3,31.23,8.44,12.67,77.43,28.8,6.313373253493014,5.719522471910112,334.0
2015-04-27,67.08,174.5,35.54,4.76,11.92,70.74,30.2,6.313373253493014,5.719522471910112,258.0
2015-04-28,81.37,141.25,34.88,4.67,13.97,70.42,31.1,0.0,5.719522471910112,234.0
2015-04-29,63.76,131.56,42.98,7.16,13.98,61.86,31.4,6.313373253493014,5.719522471910112,257.0
2015-04-30,60.56,171.42,43.9,7.33,12.85,60.18,32.7,6.313373253493014,5.719522471910112,259.0
2015-05-01,76.1,192.81,42.99,7.63,13.1,53.16,31.2,6.313373253493014,5.719522471910112,279.0
2015-05-02,72.66,206.1,62.09,9.46,16.16,43.06,30.2,0.3,5.719522471910112,312.0
2015-05-03,121.94,334.02,83.3,11.95,19.43,41.71,30.9,0.0,5.719522471910112,372.0
2015-05-04,108.98,326.71,85.5,8.08,17.53,37.7,30.8,6.313373253493014,5.719522471910112,387.0
2015-05-05,145.99,366.85,107.85,6.65,26.0,50.27,32.3,6.313373253493014,5.719522471910112,408.0
2015-05-06,171.33,346.98,87.88,7.1,25.26,92.66,34.2,6.313373253493014,5.719522471910112,398.0
2015-05-07,117.76,343.12,63.18,9.64,24.63,75.6,35.7,6.313373253493014,5.719522471910112,403.0
